ID,Type,SpellID,SpellID2,SpellID3,SpellID4,SpellID5,Quality1,Quality2,Quality3,Cost1,Cost2,Cost3,ClassType,ClassTypeID,TabType,TabTypeID,Name,Icon,Description,Description2,Anchor,Color,NodeType,PositionX,PositionY,SizeX,SizeY
102,Ability,1152,0,0,0,0,Epic,Normal,Normal,10,10,10,Paladin,10,Holy,14,Purify,Spell_Holy_Purify,,,TOP,TEAL,SpendSquare,0.0,0.0,0.0,0.0
220,Ability,276995,0,0,0,0,Legendary,Epic,Legendary,12,12,12,General,12,General1,28,Shadow Mend,Spell_Shadow_ShadowMend,,,TOP,TEAL,SpendSquare,0.0,0.0,0.0,0.0
306,Ability,22568,0,0,0,0,Normal,Normal,Normal,10,10,10,Druid,8,Feral,21,Ferocious Bite,Ability_Druid_FerociousBite,,,TOP,TEAL,SpendSquare,0.0,0.0,0.0,0.0
312,Ability,24275,0,0,0,0,Normal,Normal,Normal,44,44,44,Paladin,10,Retribution,25,Hammer of Wrath,Ability_ThunderClap,,,TOP,TEAL,SpendSquare,0.0,0.0,0.0,0.0
351,Ability,47897,0,0,0,0,Normal,Normal,Normal,38,38,38,Warlock,7,Destruction,19,Shadowflame,Ability_Warlock_ShadowFlame,,,TOP,TEAL,SpendSquare,0.0,0.0,0.0,0.0
353,Ability,91232,0,0,0,0,Rare,Rare,Rare,26,26,71,DeathKnight,11,Unholy,27,Unholy Frenzy,Spell_Shadow_UnholyFrenzy,,,TOP,TEAL,SpendSquare,0.0,0.0,0.0,0.0
354,Ability,48045,0,0,0,0,Normal,Normal,Normal,38,38,38,Priest,6,Shadow,15,Mind Sear,Spell_Shadow_MindShear,,,TOP,TEAL,SpendSquare,0.0,0.0,0.0,0.0
357,Ability,51505,0,0,0,0,Normal,Normal,Normal,46,46,46,Shaman,9,Elemental,23,Lava Burst,Spell_Shaman_LavaBurst,,,TOP,TEAL,SpendSquare,0.0,0.0,0.0,0.0
395,Talent,11083,12351,812351,0,0,Normal,Normal,Normal,15,15,10,Mage,5,Fire,13,Burning Soul,Spell_Fire_Fire,,,TOP,TEAL,SpendSquare,0.0,0.0,0.0,0.0
396,Talent,11094,13043,0,0,0,Normal,Normal,Normal,20,20,20,Mage,5,Fire,13,Molten Shields,Spell_Fire_FireArmor,,,TOP,TEAL,SpendSquare,0.0,0.0,0.0,0.0
397,Talent,11095,12872,12873,0,0,Normal,Normal,Normal,25,25,15,Mage,5,Fire,13,Improved Scorch,Spell_Fire_SoulBurn,,,TOP,TEAL,SpendSquare,0.0,0.0,0.0,0.0
398,Talent,11069,12338,12339,0,0,Normal,Normal,Normal,10,10,10,Mage,5,Fire,13,Improved Fireball,Spell_Fire_FlameBolt,,,TOP,TEAL,SpendSquare,0.0,0.0,0.0,0.0
399,Talent,11078,11080,0,0,0,Normal,Normal,Normal,10,10,10,Mage,5,Fire,13,Improved Fire Blast,Spell_Fire_Fireball,,,TOP,TEAL,SpendSquare,0.0,0.0,0.0,0.0
