RegisterMessageHandler(0x102C4590) calls: 349
opcode  handler       name
0x563  0x102968F0  SMSG_DRAFT_SKIP_RESULT
0x565  0x100E7340  SMSG_DRAFT_HAND_OF_FATE_START_RESULT
0x566  0x100E7540  SMSG_DRAFT_HAND_OF_FATE_PICK_RESULT
0x567  0x101E14F0  SMSG_DRAFT_HAND_OF_FATE_SACRIFICE_RESULT
0x568  0x101E16A0  SMSG_DRAFT_HAND_OF_FATE_CANCEL_RESULT
0x569  0x101E1800  SMSG_CHARACTER_LIST_INFO
0x56A  0x101E1B50  SMSG_CHARACTER_ACTIVATE_RESULT
0x56B  0x102E8990  SMSG_CHARACTER_DEACTIVATE_RESULT
0x56C  0x101E23E0  SMSG_CHECKPOINTS_ENABLED
0x56D  0x101E24D0  SMSG_HONORABLE_COMBAT_ZONES
0x56E  0x101E25C0  SMSG_PATCH_OCCLUSION_VOLUME
0x56F  0x101E2A30  SMSG_PATCH_OCCLUSION_VOLUME_POINTS
0x570  0x101E3910  SMSG_BANK_PERMISSIONS
0x571  0x101E3880  SMSG_SET_ACTION_BUTTON_SPELL
0x572  0x101E42C0  SMSG_ITEM_USED
0x573  0x101E55D0  SMSG_ITEM_USE_FAILED
0x574  0x101E3790  SMSG_PROCESSED_STATISTIC_QUERY
0x578  0x102CDFB0  SMSG_CHARACTER_SELECTION_GAME_MODE
0x579  0x101E1DF0  CMSG_CHARACTER_SELECTION_SET_SORT_ORDER
0x57A  0x101E1F60  CMSG_SET_DUNGEON_DIFFICULTY_REQUEST
0x57B  0x101E20A0  CMSG_RESPAWN_AT_CHECKPOINT_REQUEST
0x580  0x102709B0  CMSG_CHARACTER_ADVANCEMENT_LOADOUT_SET_NAME_REQUEST
0x581  0x10271E10  CMSG_CHARACTER_ADVANCEMENT_LOADOUT_SET_SORT_ORDER_REQUEST
0x582  0x10271680  SMSG_OVERWRITE_LFG_DATA_PAYLOAD
0x583  0x10270C50  SMSG_AREA_POI_PAYLOAD
0x585  0x102721B0  SMSG_FELFORGED_RESET_PAYLOAD
0x587  0x102720B0  SMSG_CHARACTER_ADVANCEMENT_LOADOUT_OWNED_PAYLOAD
0x588  0x100D3800  CMSG_EQUIPMENTSET_SET_DST_BANK
0x589  0x101194E0  CMSG_EQUIPMENTSET_ITEM_PLACE_IN_BANK
0x58A  0x101197C0  CMSG_EXTENSION_INITIALIZED
0x58D  0x10196C90  CMSG_LOYALTY_PASS_REDEEM
0x58E  0x100D3AD0  SMSG_CREATE_BUG_REPORT_ERROR
0x58F  0x100D3DC0  SMSG_CREATE_BUG_REPORT_SUCCESS
0x590  0x100D4290  SMSG_PATCH_CREATURE
0x591  0x101397E0  SMSG_PATCH_DUNGEON_ENCOUNTER_EXTRA
0x593  0x1013AB80  SMSG_PATCH_ITEM_DISPLAY_INFO_COLLECTIONS
0x595  0x1013AE30  SMSG_PATCH_MYTHIC_AFFIXES
0x596  0x10138050  SMSG_PATCH_MYTHIC_KEYSTONE
0x597  0x101382F0  SMSG_PATCH_MYTHIC_PLUS_SCALING
0x598  0x10137F60  SMSG_PATCH_QUEST
0x599  0x10136E80  SMSG_PATCH_SPELL_CHARGES
0x59A  0x10137030  SMSG_PATCH_SPELL_CHARGES_CATEGORY
0x59B  0x10137DB0  SMSG_PATCH_TIMED_DUNGEON
0x59D  0x102719F0  SMSG_PATCH_SPELL_AFFECT
0x5A2  0x10137B40  CMSG_GROUP_FINDER_CREATE_LISTING
0x5A3  0x10137550  CMSG_GROUP_FINDER_UPDATE_LISTING
0x5A5  0x100D49C0  CMSG_GROUP_FINDER_QUERY_LISTINGS
0x5A6  0x101369D0  SMSG_GROUP_FINDER_CREATE_LISTING_RESPONSE
0x5A8  0x101240C0  SMSG_GROUP_FINDER_REMOVE_LISTING_RESPONSE
0x5AA  0x10122C00  CMSG_SUGGESTED_GROUP_INVITE
0x5AC  0x10122D70  CMSG_REQUEST_GROUP_INVITE
0x5AE  0x10122490  SMSG_BATTLEGROUND_COUNTDOWN_UPDATE
0x5B0  0x101229C0  SMSG_UPDATE_CONFIGS
0x5B1  0x101226D0  SMSG_CREATURE_QUERY_RESPONSE_BULK
0x5B2  0x101385C0  SMSG_ITEM_QUERY_RESPONSE_BULK
0x5B3  0x10138D00  SMSG_QUEST_QUERY_RESPONSE_BULK
0x5B4  0x10138EE0  SMSG_PATCH_CHALLENGE
0x5B5  0x10138E50  CMSG_REQUEST_START_CHALLENGE
0x5B6  0x10139CD0  SMSG_REQUEST_START_CHALLENGE_RESPONSE
0x5B7  0x1013A3F0  CMSG_REQUEST_STOP_CHALLENGE
0x5B8  0x1013A670  SMSG_REQUEST_STOP_CHALLENGE_RESPONSE
0x5B9  0x1013AA60  SMSG_LIST_ACTIVE_CHALLENGES
0x5BA  0x10138170  SMSG_LIST_COMPLETED_CHALLENGES
0x5BB  0x1013B0F0  SMSG_COMPLETED_CHALLENGE
0x5BC  0x10139EB0  SMSG_LIST_CHALLENGE_CRITERIA
