# Ascension client Extensions.dll opcode map (build 12344)
# Extracted from opcode name-pointer table @ file-off 0x2C4003 (anchor opcode 0x3B),
# 6-byte entries {u32 name_ptr(VA), u16 0xB8C3}, contiguous 0x1..0x80B.
# Verified vs stock 3.3.5a at 0x3B,0x3D,0x66,0x95,0xC9,0xFE,0x104,0x12A,0x1CC,0x1F4,0x2CD,0x500.

0x03B SMSG_CHAR_ENUM
0x03C SMSG_CHAR_DELETE
0x03D CMSG_PLAYER_LOGIN
0x03E SMSG_NEW_WORLD
0x03F SMSG_TRANSFER_PENDING
0x040 SMSG_TRANSFER_ABORTED
0x041 SMSG_CHARACTER_LOGIN_FAILED
0x042 SMSG_LOGIN_SETTIMESPEED
0x043 SMSG_GAMETIME_UPDATE
0x044 CMSG_GAMETIME_SET
0x045 SMSG_GAMETIME_SET
0x046 CMSG_GAMESPEED_SET
0x047 SMSG_GAMESPEED_SET
0x048 CMSG_SERVERTIME
0x049 SMSG_SERVERTIME
0x04A CMSG_PLAYER_LOGOUT
0x04B CMSG_LOGOUT_REQUEST
0x04C SMSG_LOGOUT_RESPONSE
0x04D SMSG_LOGOUT_COMPLETE
0x04E CMSG_LOGOUT_CANCEL
0x04F SMSG_LOGOUT_CANCEL_ACK
0x050 CMSG_NAME_QUERY
0x051 SMSG_NAME_QUERY_RESPONSE
0x052 CMSG_PET_NAME_QUERY
0x053 SMSG_PET_NAME_QUERY_RESPONSE
0x054 CMSG_GUILD_QUERY
0x055 SMSG_GUILD_QUERY_RESPONSE
0x056 CMSG_ITEM_QUERY_SINGLE
0x057 CMSG_ITEM_QUERY_MULTIPLE
0x058 SMSG_ITEM_QUERY_SINGLE_RESPONSE
0x059 SMSG_ITEM_QUERY_MULTIPLE_RESPONSE
0x05A CMSG_PAGE_TEXT_QUERY
0x05B SMSG_PAGE_TEXT_QUERY_RESPONSE
0x05C CMSG_QUEST_QUERY
0x05D SMSG_QUEST_QUERY_RESPONSE
0x05E CMSG_GAMEOBJECT_QUERY
0x05F SMSG_GAMEOBJECT_QUERY_RESPONSE
0x060 CMSG_CREATURE_QUERY
0x061 SMSG_CREATURE_QUERY_RESPONSE
0x062 CMSG_WHO
0x063 SMSG_WHO
0x064 CMSG_WHOIS
0x065 SMSG_WHOIS
0x066 CMSG_CONTACT_LIST
0x067 SMSG_CONTACT_LIST
0x068 SMSG_FRIEND_STATUS
0x069 CMSG_ADD_FRIEND
0x06A CMSG_DEL_FRIEND
0x06B CMSG_SET_CONTACT_NOTES
0x06C CMSG_ADD_IGNORE
0x06D CMSG_DEL_IGNORE
0x06E CMSG_GROUP_INVITE
0x06F SMSG_GROUP_INVITE
0x070 CMSG_GROUP_CANCEL
0x071 SMSG_GROUP_CANCEL
0x072 CMSG_GROUP_ACCEPT
0x073 CMSG_GROUP_DECLINE
0x074 SMSG_GROUP_DECLINE
0x075 CMSG_GROUP_UNINVITE
0x076 CMSG_GROUP_UNINVITE_GUID
0x077 SMSG_GROUP_UNINVITE
0x078 CMSG_GROUP_SET_LEADER
0x079 SMSG_GROUP_SET_LEADER
0x07A CMSG_LOOT_METHOD
0x07B CMSG_GROUP_DISBAND
0x07C SMSG_GROUP_DESTROYED
0x07D SMSG_GROUP_LIST
