  SetFilteredEntries                       0x1017dda0   [esp+0x18]
  GetNumFilteredEntries                    0x101794c0   [esp+0x20]
  GetFilteredEntryAtIndex                  0x10177460   [esp+0x28]
  IsFiltered                               0x1017c770   [esp+0x30]
  GetCategories                            0x10176450   [esp+0x38]
  GetCategoryDisplayInfo                   0x10176760   [esp+0x40]
  SetFilteredEntriesByCategory             0x1017e6b0   [esp+0x48]
  GetNumFilteredEntriesByCategory          0x101794f0   [esp+0x50]
  GetFilteredEntryAtIndexByCategory        0x101774f0   [esp+0x58]
  AddSuggestionContextOverride             0x10174230   [esp+0x60]
  RemoveSuggestionContextOverride          0x1017dce0   [esp+0x68]
  ClearSuggestionContextOverrides          0x101761f0   [esp+0x70]
  IsSuggestionContextOverride              0x1017ccf0   [esp+0x78]
  HasAnySuggestionContextOverrides         0x1017b8e0   [esp+0x80]
  GetRootSpellTagTypes                     0x1017aa50   [esp+0x88]
  GetSpellTagTypes                         0x1017ad00   [esp+0x90]
  GetSpellTagTypeDisplayInfo               0x1017ab50   [esp+0x98]
  GetSuggestedStats                        0x1017b0d0   [esp+0xa0]
  ExportBuild                              0x10176220   [esp+0xa8]
  ImportPendingBuild                       0x1017b910   [esp+0xb0]
  ImportPendingBuildID                     0x1017c060   [esp+0xb8]
  ClearRecentlyLearnedEntries              0x100b2710   [esp+0xc0]
  PickupSpell                              0x1017d930   [esp+0xc8]
  CanUseBrowser                            0x10175d50   [esp+0xd0]
  InspectUnit                              0x1017c380   [esp+0xd8]
  GetInspectInfo                           0x10177940   [esp+0xe0]
  GetInspectedBuild                        0x10177ae0   [esp+0xe8]
  UnitKnownID                              0x1017f850   [esp+0xf0]
  UnitTalentRankByID                       0x1017f9d0   [esp+0xf8]
  GetAllEntries                            0x1016f5b0   [esp+0x100]
  IsTalentSpellID                          0x1017cf00   [esp+0x108]
  IsTalentAbilitySpellID                   0x1017ce00   [esp+0x110]
  IsAbilitySpellID                         0x1017c5a0   [esp+0x118]
  IsTalentID                               0x1017ce70   [esp+0x120]
  IsTalentAbilityID                        0x1017cd70   [esp+0x128]
  IsAbilityID                              0x1017c510   [esp+0x130]
  IsMastery                                0x1017ca70   [esp+0x138]
  GetClassInfo                             0x10176850   [esp+0x140]
  GetClassName                             0x10176a10   [esp+0x148]
  GetTabName                               0x10176aa0   [esp+0x150]
  GetInternalID                            0x10177d60   [esp+0x158]
  GetEntryByInternalID                     0x101772b0   [esp+0x160]
  GetEntryBySpellID                        0x10177330   [esp+0x168]
  GetQualityInfo                           0x10179d90   [esp+0x170]
  GetTalentRankBySpellID                   0x1017b530   [esp+0x178]
  GetTalentRankByID                        0x1017b410   [esp+0x180]
  GetEntriesByClass                        0x10177050   [esp+0x188]
  GetSpellsByClass                         0x1017ae50   [esp+0x190]
  GetTalentsByClass                        0x1017b620   [esp+0x198]
  GetMasteriesByClass                      0x10179260   [esp+0x1a0]
  GetImplicitByClass                       0x101776e0   [esp+0x1a8]
  KnowsConnectedNodesFor                   0x1017cf70   [esp+0x1b0]
  IsKnownID                                0x1017c830   [esp+0x1b8]
  IsKnownSpellID                           0x1017c920   [esp+0x1c0]
  GetAbilityEssenceCost                    0x10176340   [esp+0x1c8]
  GetTalentEssenceCost                     0x1017b390   [esp+0x1d0]
  GetLearnedAE                             0x10178dc0   [esp+0x1d8]
  GetLearnedTE                             0x10178fa0   [esp+0x1e0]
  GetKnownSpells                           0x101784b0   [esp+0x1e8]
  GetKnownSpellEntries                     0x10177dd0   [esp+0x1f0]
  GetKnownTalentEntries                    0x101786e0   [esp+0x1f8]
  GetKnownSpellEntriesForClass             0x10178280   [esp+0x200]
  GetKnownTalentEntriesForClass            0x10178b90   [esp+0x208]
  GetGlobalAEInvestment                    0x10177680   [esp+0x210]
  GetClassAEInvestment                     0x10176b30   [esp+0x218]
  GetTabAEInvestment                       0x1017b2b0   [esp+0x220]
  GetGlobalTEInvestment                    0x101776b0   [esp+0x228]
  GetClassTEInvestment                     0x10176bf0   [esp+0x230]
  GetTabTEInvestment                       0x1017b320   [esp+0x238]
  GetClassPointInvestment                  0x10176b90   [esp+0x240]
  GetExpectedAE                            0x101773a0   [esp+0x248]
